date,smp_max,smp_min,smp_mean,supply,year,month,day,dayofweek,temp_max,temp_min,temp_mean
2018-02-01,150.65,116.84,132.71,87.47,2018,2,1,3,5.95,3.3,4.270833333333334
2018-02-02,163.86,116.84,134.19,86.64,2018,2,2,4,5.25,2.45,3.554166666666667
2018-02-03,164.07,116.85,131.39,88.28,2018,2,3,5,4.0,-0.5,1.4333333333333333
2018-02-04,171.0,115.76,131.89,86.14,2018,2,4,6,0.30000000000000004,-2.05,-1.0104166666666667
2018-02-05,170.34,123.89,137.96,90.63,2018,2,5,0,2.05,-1.7000000000000002,0.0020833333333333585
2018-02-06,167.99,119.11,140.06,91.18,2018,2,6,1,-0.2,-1.5,-0.8833333333333332
2018-02-07,141.07,124.11,132.76,90.09,2018,2,7,2,2.3,-1.4,0.4958333333333334
2018-02-08,147.42,116.84,132.91,87.57,2018,2,8,3,6.1,-0.14999999999999997,2.652083333333333
2018-02-09,150.7,116.84,126.95,81.63,2018,2,9,4,9.899999999999999,3.3,6.264583333333334
2018-02-10,147.2,116.34,130.1,83.0,2018,2,10,5,7.300000000000001,3.05,5.875
2018-02-11,149.81,116.91,127.0,82.75,2018,2,11,6,4.1,0.8999999999999999,2.2687500000000003
2018-02-12,167.78,124.68,138.91,89.2,2018,2,12,0,3.0,0.04999999999999999,1.9791666666666667
2018-02-13,146.75,126.95,132.89,85.22,2018,2,13,1,7.6,2.95,4.864583333333333
2018-02-14,168.73,116.84,132.9,75.44,2018,2,14,2,13.45,5.0,9.90625
2018-02-15,142.71,116.62,129.99,74.21,2018,2,15,3,10.6,5.25,7.539583333333334
2018-02-16,137.18,51.12,121.13,74.96,2018,2,16,4,8.4,4.35,6.0249999999999995
2018-02-17,152.5,107.61,126.44,78.31,2018,2,17,5,6.25,2.8,4.562500000000001
2018-02-18,148.28,116.91,130.39,73.8,2018,2,18,6,9.55,2.6,6.524999999999999
2018-02-19,151.67,116.84,133.35,77.87,2018,2,19,0,9.850000000000001,5.25,7.822916666666667
2018-02-20,145.99,115.16,125.54,76.98,2018,2,20,1,11.600000000000001,4.8,8.402083333333335
2018-02-21,167.06,116.84,134.82,81.87,2018,2,21,2,7.45,4.3,5.6812499999999995
2018-02-22,165.91,116.84,134.31,84.73,2018,2,22,3,7.35,3.15,5.047916666666667
2018-02-23,143.44,116.84,128.36,80.26,2018,2,23,4,11.95,3.3,7.906249999999999
