date,smp_max,smp_min,smp_mean,supply
2020-02-07,185.36047645787158,120.13006778873869,152.20339549127252,78.58761157659733
2020-02-08,189.0077873327993,122.57120934690991,161.02794915534585,78.86189456626941
2020-02-09,189.84010967986347,123.82901658984879,164.74348905488145,77.09902066587118
2020-02-10,189.1777512703574,129.20910996873118,164.6881950446201,75.83419331295254
2020-02-11,190.04193549882535,129.0109450444394,165.38381023635628,77.86920710449185
2020-02-12,191.55795161420903,129.0703981329609,171.23250131408997,78.31087484591198
2020-02-13,190.73314373151283,128.01085631948598,171.73468341553254,77.06734725456973
2020-02-14,191.06301186285367,127.40792714993954,171.8863360027316,75.76201575489871
2020-02-15,191.45672983189897,127.64239064319358,171.86273592675315,77.57180379724481
2020-02-16,191.30551004043932,127.65178267491667,172.03679170307265,75.3457795237858
2020-02-17,190.14212279490906,121.28012202947805,171.90270806917243,73.54486078787515
2020-02-18,190.73314373151283,127.35606433645069,171.9272478333693,76.93708172177341
2020-02-19,190.82023216699187,127.35606433645069,171.9943201373707,76.58710818648609
2020-02-20,193.6563070729588,128.71474221558984,171.96002976551785,79.22017506674234
2020-02-21,193.98733497067423,128.89117709400594,171.6921126273313,80.10066636964176
2020-02-22,194.4358933070726,128.89117709400594,171.89731284615914,80.46916898760756
2020-02-23,191.45672983189897,128.33434975802896,171.87494994477458,76.9210785088521
2020-02-24,190.14212279490906,126.02990883230738,171.60078930507237,74.84818884409434
2020-02-25,190.69376738574104,127.35606433645069,171.77593773134726,75.89328130774038
2020-02-26,190.73314373151283,127.35606433645069,171.56172964875793,77.5745548256792
2020-02-27,191.69482444209194,127.98833901387972,168.29864746238553,78.72155402913894
2020-02-28,189.20589985271744,127.35606433645069,168.15055448645558,77.37590523608331
2020-02-29,194.04864543751918,130.07696655827004,171.51209788477368,81.33097241608205
2020-03-01,163.9519360464531,117.10133523817817,128.06756948834075,79.94040543925693
2020-03-02,159.81721423066122,113.57590920868543,126.18497884155173,75.92866510124556
2020-03-03,160.66453562190844,115.17062120008434,127.72756833902785,75.9854276396077
2020-03-04,163.6780914988956,114.38500075156742,127.91248890267464,78.02169289592295
2020-03-05,164.4926259283028,112.75027022429421,127.55957190241364,76.80251601631647
2020-05-25,0.0,0.0,0.0,0.0
2020-05-26,0.0,0.0,0.0,0.0
2020-05-27,0.0,0.0,0.0,0.0
2020-05-28,0.0,0.0,0.0,0.0
2020-05-29,0.0,0.0,0.0,0.0
2020-05-30,0.0,0.0,0.0,0.0
2020-05-31,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0
2020-06-02,0.0,0.0,0.0,0.0
2020-06-03,0.0,0.0,0.0,0.0
2020-06-04,0.0,0.0,0.0,0.0
2020-06-05,0.0,0.0,0.0,0.0
2020-06-06,0.0,0.0,0.0,0.0
2020-06-07,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0
2020-06-09,0.0,0.0,0.0,0.0
2020-06-10,0.0,0.0,0.0,0.0
2020-06-11,0.0,0.0,0.0,0.0
2020-06-12,0.0,0.0,0.0,0.0
2020-06-13,0.0,0.0,0.0,0.0
2020-06-14,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0
2020-06-16,0.0,0.0,0.0,0.0
2020-06-17,0.0,0.0,0.0,0.0
2020-06-18,0.0,0.0,0.0,0.0
2020-06-19,0.0,0.0,0.0,0.0
2020-06-20,0.0,0.0,0.0,0.0
2020-06-21,0.0,0.0,0.0,0.0
